word,donald-trump,kamala-harris,rfk-jr,scale
biden,0.4040268796851203,0.2481116609167655,0.34786145939811414,0.027619288913301277
years,0.47385603505123336,0.28770546741021025,0.23843849753855634,0.021266378112632267
china,1.0,0.0,0.0,0.021725763476122158
america,0.27353029207783897,0.3796273490383539,0.34684235888380716,0.02385315715625771
joe,0.40619582844041824,0.5938041715595817,0.0,0.02287448771278147
trump,0.3258286655844057,0.13390369516650932,0.5402676392490849,0.018277175241232384
day,0.4060933015951132,0.2594906703572822,0.3344160280476045,0.010374628993408
new,0.754930440562637,0.0,0.24506955943736303,0.008167482267565777
russia,0.4502039620472832,0.5497960379527169,0.0,0.01335430486796631
american,0.19435806709958664,0.17001104050948115,0.6356308923909322,0.020153595981424008
000,0.5089619479426274,0.23489334623502817,0.25614470582234455,0.007293382034289923
united,0.13681938228336163,0.6646192622811754,0.19856135543546305,0.02688138084251257
states,0.13398631416523588,0.6703844168941316,0.19562926894063234,0.025920064378514292
10,1.0,0.0,0.0,0.009667281546765048
ago,0.38747544311815546,0.3237094621302328,0.2888150947516117,0.008316468151692338
billion,0.3882600012333549,0.44865722751587767,0.16308277125076737,0.008182353315327707
mexico,1.0,0.0,0.0,0.008505841360934617
democrats,0.48623258930708235,0.0,0.5137674106929176,0.008571043485057911
millions,0.5681413956280561,0.15327973766995112,0.2785788667019928,0.004790029013378139
dollars,0.7674143912709553,0.0,0.23258560872904477,0.005163521402624592
thousands,0.5277065463322166,0.19986262023752718,0.2724308334302562,0.00489812712171642
million,0.2934056924304178,0.4682883848850728,0.2383059226845094,0.007839340183317237
today,0.12953894135620145,0.39358242871223764,0.47687862993156094,0.016789188320827705
100,0.7298881684977179,0.0,0.27011183150228213,0.004446161287846975
hundreds,0.7466200425848667,0.2533799574151332,0.0,0.004346522105135167
year,0.17343067500019999,0.4915534278894181,0.335015897110382,0.011949291351779205
ukraine,0.15346541525691057,0.7471722978698162,0.09936228687327321,0.013429651188669229
iowa,1.0,0.0,0.0,0.00587552094008335
house,0.31229898353900803,0.24408598168791676,0.44361503477307523,0.006016030789845253
washington,0.3543190456031605,0.1393082591193043,0.5063726952775353,0.005270429730754663
billions,1.0,0.0,0.0,0.005568080890892942
months,0.4952845640592404,0.0,0.5047154359407596,0.005552122233415618
republican,0.5306585434285944,0.0,0.46934145657140564,0.005117641971745053
york,0.6933728566789915,0.0,0.30662714332100843,0.003916681203130162
28,1.0,0.0,0.0,0.005226480836236934
50,0.4598386955804824,0.2583919836154644,0.2817693208040532,0.0037886334827616232
hampshire,1.0,0.0,0.0,0.005226480836236934
white,0.42039717266913496,0.0,0.579602827330865,0.006216122723963143
iran,1.0,0.0,0.0,0.005055680808908929
democrat,1.0,0.0,0.0,0.00471408075425292
carolina,0.24443271466186256,0.6273060502782443,0.12826123505989323,0.0062422641730843975
second,0.3508720204325917,0.3999243129700409,0.24920366659736734,0.004283727835104473
south,0.27738972818338,0.5678139223019556,0.15479634951466442,0.005172218304373388
week,0.5079983462129284,0.0,0.4920016537870715,0.004068281611693673
israel,0.16144039921531905,0.838559600784681,0.0,0.01269570899166586
weeks,1.0,0.0,0.0,0.003825920612147298
days,0.3008776643381694,0.6991223356618306,0.0,0.006301166646953184
obama,1.0,0.0,0.0,0.003791760606681697
half,0.4078853173092056,0.24128914801983764,0.35082553467095684,0.003042881939065458
nikki,1.0,0.0,0.0,0.003723440595750495
north,0.2951459115862467,0.7048540884137532,0.0,0.006249926638754783
donald,0.2851770321672689,0.46259786882024934,0.2522250990124818,0.004232412584603283
world,0.6012006393722528,0.0,0.39879936062774735,0.003011441058291738
michigan,1.0,0.0,0.0,0.003586800573888092
war,0.26995078805612827,0.0,0.7300492119438717,0.006580163358670813
2016,1.0,0.0,0.0,0.00351848056295689
miles,0.6103450111809179,0.3896549888190821,0.0,0.002826401861915928
americans,0.0613821309194399,0.2265482171873405,0.7120696518932196,0.018364956763138634
isis,1.0,0.0,0.0,0.0032452005192320833
200,1.0,0.0,0.0,0.003211040513766482
republicans,0.23927118212900858,0.16413029772341828,0.5965985201475731,0.00447336293655731
haley,1.0,0.0,0.0,0.0031768805083008814
afghanistan,1.0,0.0,0.0,0.0030402404864384776
november,0.5771242018894635,0.42287579811053655,0.0,0.0026043618263895223
congress,0.13668834850155115,0.7515548586958046,0.1117567928026442,0.007164132866838896
15,1.0,0.0,0.0,0.0029036004645760743
seven,1.0,0.0,0.0,0.0028694404591104736
25,0.4357711166620409,0.5642288833379591,0.0,0.0032531762033275757
covid,0.4695850301001527,0.0,0.5304149698998474,0.003018921251642292
putin,0.25517969616034863,0.5286435911326749,0.21617671270697655,0.0037036390385637003
ron,1.0,0.0,0.0,0.002698640431782469
2024,1.0,0.0,0.0,0.0026644804263168684
2020,1.0,0.0,0.0,0.0026303204208512673
40,0.31941506056308555,0.0,0.6805849394369143,0.004117402003860382
night,1.0,0.0,0.0,0.0026303204208512673
tonight,0.5377108205419746,0.46228917945802545,0.0,0.0023823217908631165
12,1.0,0.0,0.0,0.0025278404044544647
